,,,,,,,,,,
Theme,Category,Function,Feature,Subscription Tier,Free Tier,TeamDesigner Tier,TeamOperator Tier,Enterprise Tier,Pricing page?,Docs
Business Performance,"Configurable, General Purpose Filter",,,Free,,,,,,
Business Performance,In-Product Insight,Shopping cart-based; real-time discount,,Enterprise,,,,,,
Business Performance,Serverless Pricing,Serverless Pricing,Subscription plan management. Transformation of workflow pricing model.,Enterprise,,,,,,
Business Performance,Auto Tuning,,,Enterprise,,,,,,
Business Performance,Load / performance based,,,Enterprise,,,,,,
Business Performance,COGS vs SLO-based,,,Enterprise,,,,,,
,,,,,,,,,,
Digital Experience Management,User Analytics,,,Free,,,,,,
Digital Experience Management,Integration with Google Analytics,,,Free,,,,,,
Digital Experience Management,,FullStory-like capabilities,,Enterprise,,,,,,
Digital Experience Management,In-product insight,Like Pendo; telling users what they are missing; how to use the product.,,Enterprise,,,,,,
Digital Experience Management,Synthetics,Simple,,Free,,,,,,
Digital Experience Management,Synthetics,Advanced,,Free,,,,,,
Digital Experience Management,Testing of a user’s flow performance,,,Team,,,,,,
Digital Experience Management,Screenshots,Screenshots,Capture and share visual snapshots of your work with ease using our Screenshots feature.,Free,,,,,,
Incident Management,Notification Center,Events: Reporting of asynchronous events.,,Free,,,,,,
Incident Management,Notification Center,Notification Center,"Consolidate all important updates, alerts, and messages in one centralized hub, ensuring you never miss a critical communication or task.",Free,,,,,,
Incident Management,Audit Trail,Audit Trail,Detailed accounting of user activity. Historical record or each action taken.,Enterprise,,,,x,,
Incident Management,Alert Generation,Alert Generation,Dismiss individual; Dismiss bulk.,Free,,,,,,
Incident Management,Alert Generation,Policy-based,,Free,,,,,,
Incident Management,Alert Generation,Slack Notifications,Threaded Slack Notifications,,,,,,,
Incident Management,Event Correlation,Policy-based,,Free,,,,,,
Incident Management,Event Correlation,Policy-based,,Team,,,,,,
Incident Management,Calendaring,Meshery Cloud Native,,Free,,,,,,
Incident Management,Calendaring,Integration w/GSuite,,Team,,,,,,
Incident Management,Calendaring,Integration w/Microsoft Outlook,,Team,,,,,,
Incident Management,Calendaring,Calendaring,Get integration with GSuite and integration with Microsoft Outlook.,Team,,,,,,
Incident Management,Alert Integration,DataDog,,Free,,,,,,
Incident Management,Traffic Capture,Event recording,,Team,,,,,,
Incident Management,Traffic Replay,Event replay,,Team,,,,,,
Incident Management,Traffic Replay,Traffic Replay,Visual event replay in Kanvas,Enterprise,,,,,,
Incident Management,Diagnostics,Component Logging,,,,,,,,
Incident Management,Notification Integrations,Notification Integrations,"Access a variety of third-party applications, right from Kanvas. Send a message to Slack, identify an on-duty team to page, or raise an alarm in Datadog.",Enterprise,,,,,,
,,,,,,,,,,
Chaos Management,MeshMonkey,Library of experiments,,Free,,,,,,
Chaos Management,MeshMonkey,As WASM filters,,,,,,,,
Chaos Management,MeshMonkey,As sidecars,,,,,,,,
Chaos Management,MeshMonkey,As daemonsets,,,,,,,,
